1277	I have to go to sleep.	5662	Tôi phải đi ngủ.
1280	Today is June 18th and it is Muiriel's birthday!	5665	Hôm nay là ngày 18 tháng sáu, và cũng là ngày sinh nhật của Muiriel!
1282	Muiriel is 20 now.	5667	Bây giờ Muiriel được 20 tuổi.
1283	The password is "Muiriel".	5668	Mật mã là "Muiriel".
1286	I'm at a loss for words.	5671	Tôi hết lời để nói.
1286	I'm at a loss for words.	3481583	Tôi không biết nói gì.
1288	I just don't know what to say.	5673	Tôi không biết nên nói gì cả...
1289	That was an evil bunny.	5674	Đó là một con thỏ hung ác.
1290	I was in the mountains.	5675	Tôi từ trên núi xuống.
1291	Is it a recent picture?	5676	Tấm hình này có mới không?
1291	Is it a recent picture?	3481931	Nó có phải là tấm hình mới chụp không?
1298	This will cost €30.	3549793	Cái này sẽ tốn €30.
1298	This will cost €30.	3549794	Việc này sẽ tốn €30.
1298	This will cost €30.	3549795	Thứ này sẽ tốn €30.
1299	I make €100 a day.	3549780	Tôi kiếm được 100 euro một ngày.
1301	It's because you don't want to be alone.	3549779	Đó là vì bạn không muốn đơn độc.
1304	I'll do my best not to disturb your studying.	5679	Tôi sẽ cố không quấy rầy bạn học hành.
1311	You should sleep.	5682	Bạn nên đi ngủ đi.
1319	If the world weren't in the shape it is now, I could trust anyone.	5684	Nếu thế giới không như bây giờ, thì tôi có thể tin ai cũng được.
1320	It is unfortunately true.	5685	Tiếc rằng cái đó là sự thật.
1328	Oh, there's a butterfly!	5687	Ô kìa, con bươm bướm!
1329	Hurry up.	5688	Mau lên!
1333	It depends on the context.	5690	Cái đó tùy thuộc vào văn cảnh.
1338	America is a lovely place to be, if you are here to earn money.	5692	Sống ở Mỹ rất thích nếu là ở đây để kiếm tiền.
1339	I'm so fat.	5693	Tôi mập quá.
1340	So what?	5694	Thì sao?
1341	I'm gonna shoot him.	5695	Tao sẽ bắn hạ nó.
1352	I don't intend to be selfish.	5697	Tôi không có ý định ích kỷ đâu.
1354	How many close friends do you have?	5698	Bạn có bao nhiêu bạn thân?
1358	One can always find time.	5700	Một người luôn luôn có thể kiếm thêm thì giờ.
1365	If I could send you a marshmallow, Trang, I would.	5702	Nếu tôi có thể gửi Trang một cục marshmallow thì tôi sẽ gửi.
1371	I am a flawed person, but these are flaws that can easily be fixed.	5703	Tôi là người có nhiều thói xấu nhưng những thói xấu này có thể dễ dàng sửa.
1372	Whenever I find something I like, it's too expensive.	5704	Hễ tôi kiếm được cái gì tôi thích thì nó lại đắt quá.
1379	That is intriguing.	5706	Cái đó nhìn hấp dẫn.
1392	My physics teacher doesn't care if I skip classes.	5707	Thầy vật lý không để ý đến việc lên lớp của tôi.
1394	I hate it when there are a lot of people.	5708	Tôi ghét những lúc đông người.
1400	The police will get you to find the bullets.	5709	Cảnh sát sẽ bắt bạn tìm ra mấy viên đạn.
1408	I don't know what you mean.	5711	Tôi không biết ý của bạn là gì.
1410	You wanted to tell me about freedom?	5712	Bạn muốn nói với tôi về sự tự do hả?
1417	I need to ask you a silly question.	5714	Tôi cần hỏi một câu hỏi ngớ ngẩn.
1418	I don't know how to demonstrate it, since it's too obvious!	5715	Tôi không biết phải trình bày thế nào, bởi vì nó đã quá rõ ràng rồi.
1420	Can it be phrased in another way?	5716	Có thể nói cách khác được không?
1422	I found a solution, but I found it so fast that it can't be the right solution.	5717	Tôi đã tìm ra cách, nhưng mà tìm ra nhanh thế này thì chắc hẳn đó không phải là cách hay rồi.
1424	Except that here, it's not so simple.	5719	Nhưng ở đây, không dễ dàng như vậy đâu.
1427	No, he's not my new boyfriend.	5720	Không, anh ấy không phải bạn trai mới của tôi.
1429	You never have class or what?!	5721	Bạn không bao giờ có lớp hay sao?
1431	Where is the problem?	5722	Vấn đề ở đâu?
